id,name,brand,image,Availability,price,final_price,cooler_type,radiator_size,fan_rpm,socket_support,height,tdp,description_1,description_2
MSPL0023,MSI MAG CORELIQUID A13 240,MSI,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767800347/MSI/MSI_MAG_CORELIQUID_A13_240.webp,Avl,4500,4545,Liquid,240,2000,"LGA1700, LGA1200, LGA115x, AM5, AM4",27,250,Advanced liquid cooling for mainstream CPUs. The A13 series features a refined pump design and ARGB fans for both performance and style.,Easy installation with durable rotatable tubing. Compatible with MSI Center for advanced fan curve and lighting synchronization.
MSPL0026,MSI MAG CORELIQUID A13 240 WHITE,MSI,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767800345/MSI/MSI_MAG_CORELIQUID_A13_240_WHITE.webp,Avl,4700,4747,Liquid,240,2000,"LGA1700, LGA1200, LGA115x, AM5, AM4",27,250,Full white liquid cooler designed for aesthetic excellence. The A13 White edition provides a clean look without compromising on thermal efficiency.,Includes matching white fans and radiator housing. Broad socket support covers all modern desktop platforms from Intel and AMD.
MSPL0024,MSI MAG CORELIQUID A13 360,MSI,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767800349/MSI/MSI_MAG_CORELIQUID_A13_360.webp,Avl,5750,5807,Liquid,360,2000,"LGA1700, LGA1200, LGA115x, AM5, AM4",27,300,High-capacity 360mm radiator for overclocked processors or professional workloads. Maximum surface area for heat dissipation.,Three high-performance ARGB fans included. Durable design built to satisfy even the most demanding PC builders.
MSPL0003,MAG CORELIQUID E240 White,MSI,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767800285/MSI/MAG_CORELIQUID_E240_White.webp,Avl,7500,7575,Liquid,240,1800,"LGA1700, LGA1200, LGA115x, AM5, AM4",27,250,The E-series offers a rotatable blockhead and premium build quality. Stylish white design that fits perfectly in modern architectural PC cases.,Split-flow radiator design for rapid heat dissipation. ARGB lighting can be customized to match any build theme.
MSPL0021,MAG CORELIQUID I360,MSI,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767800287/MSI/MAG_CORELIQUID_I360.webp,Avl,10200,11500,Liquid,360,2350,"LGA1700, LGA1200, LGA115x, AM5, AM4",27,320,Designed for extreme performance and ease of install. The I-series features pre-bundled fans and simplified cable management for a hassle-free build.,Powerful pump and high-density fins ensure top-tier thermal performance. Support for the latest high-TDP processors from Intel and AMD.
MSPL0022,MAG CORELIQUID I360 WHITE,MSI,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767800286/MSI/MAG_CORELIQUID_I360_WHITE.webp,Avl,10450,10554,Liquid,360,2350,"LGA1700, LGA1200, LGA115x, AM5, AM4",27,320,"Premium white edition for extreme builds. The CORELIQUID I360 White combines unrivaled cooling capacity with a pure, elegant design.",Features integrated fan controllers and simplified wiring. Large radiator provides immense thermal headroom for high-end cores.
MSPL0038,MSI MAG COREPROZR AA13 CPU Cooler With Heatsink,MSI,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767800350/MSI/MSI_MAG_COREPROZR_AA13_CPU_Cooler_With_Heatsink.webp,Avl,1800,1818,Air,0,1800,"LGA1700, LGA1200, LGA115x, AM5, AM4",155,200,"High-performance air cooler with a classic heatsink design. Provides reliable, long-lasting cooling without the complexity of liquid systems.",Features direct-touch heat pipes and a quiet 120mm fan. Compact height ensures compatibility with most mid-tower chassis.
MSPL0039,MSI MAG COREPROZR AA13 WHITE CPU Cooler With Heatsink,MSI,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767800358/MSI/MSI_MAG_COREPROZR_AA13_WHITE_CPU_Cooler_With_Heatsink.webp,Avl,1900,1919,Air,0,1800,"LGA1700, LGA1200, LGA115x, AM5, AM4",155,200,Sleek white air cooler for clean systems. The AA13 White offers excellent thermals with a specialized coating for better heat dissipation.,Whisper-quiet fan and easy mounting system. A great value choice for builders who prefer air cooling aesthetics.
MSPL0036,MSI MPG CORELIQUID P13 360,MSI,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767800360/MSI/MSI_MPG_CORELIQUID_P13_360.webp,Avl,14600,14746,Liquid,360,2000,"LGA1700, LGA1200, LGA115x, AM5, AM4",27,330,The P-series represents professional performance. Features a large radiator and industrial-grade construction for high-load reliability.,Advanced pump technology reduces vibration and noise. Optimized for sustained high-performance computing and professional workstations.
MSPL0037,MSI MPG CORELIQUID P13 360 WHITE,MSI,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767800359/MSI/MSI_MPG_CORELIQUID_P13_360_WHITE.webp,Avl,14600,14746,Liquid,360,2000,"LGA1700, LGA1200, LGA115x, AM5, AM4",27,330,All-white professional liquid cooler for stunning high-performance rigs. Designed for enthusiasts who demand both style and substance.,Features a polished aesthetic and high-airflow fans. Perfectly complements MSI's white motherboard and case offerings.
