id,name,brand,image,Availability,price,final_price,chipset,vram,memory_type,boost_clock,power_connector,length,tdp,recommended_psu,description_1,description_2
GRAP0549,MSI GeForce RTX 5090 32G SUPRIM SOC,MSI,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767800343/MSI/MSI_GeForce_RTX_5090_32G_SUPRIM_SOC.webp,Avl,349000,352490,RTX 5090,32GB,GDDR7,2500,2x 16-pin,340,600,1000,The flagship SUPRIM SOC represents the absolute peak of GPU engineering. Featuring the latest Blackwell architecture and massive 32GB GDDR7 memory.,Optimized for extreme overclocking with a robust power phase design. Includes the Tri Frozr 3S cooling system with TORX Fan 5.0 for silent operation.
GRAP0563,MSI GeForce RTX 5090 32G VANGUARD SOC,MSI,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767800344/MSI/MSI_GeForce_RTX_5090_32G_VANGUARD_SOC.webp,Avl,339000,342390,RTX 5090,32GB,GDDR7,2500,2x 16-pin,340,600,1000,A special edition Vanguard series designed for maximum stability under heavy sustained workloads. Powerful 32GB GDDR7 memory for massive AI and data calculation.,Advanced vapor chamber cooling and high-density copper fins. Built with server-grade components for unmatched reliability in professional workstations.
GRAP0550,GeForce RTX 5090 32G GAMING TRIO OC,MSI,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767800276/MSI/GeForce_RTX_5090_32G_GAMING_TRIO_OC.webp,Avl,329000,344899,RTX 5090,32GB,GDDR7,2500,2x 16-pin,340,600,1000,"Gaming Trio OC offers the perfect balance of performance, low noise, and aesthetics. The ultimate choice for 4K and 8K gaming enthusiast.",Reinforced backplate and custom PCB design. Support for Mystic Light RGB allows for full synchronization with the rest of your gaming rig.
GRAP0602,MSI GeForce RTX 5080 16G EXPERT OC,MSI,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767800342/MSI/MSI_GeForce_RTX_5080_16G_EXPERT_OC.webp,Avl,111900,151500,RTX 5080,16GB,GDDR7,2300,1x 16-pin,310,400,850,The Expert OC features a unique flow-through thermal design with premium metallic aesthetic. High-performance gaming with 16GB GDDR7 memory.,Patented fan technology that pushes air through the card for efficient case-level thermal management. Stylish and durable all-metal shroud.
GRAP0571,MSI GeForce RTX 5070 12G VENTUS 2X OC WHITE,MSI,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767800341/MSI/MSI_GeForce_RTX_5070_12G_VENTUS_2X_OC_WHITE.webp,Avl,55900,64900,RTX 5070,12GB,GDDR7,2100,1x 16-pin,245,220,650,A sleek white dual-fan GPU perfect for clean workstation or gaming builds. Delivers 1440p and 4K performance with high efficiency.,"Compact 2-slot design fits most cases. Features award-winning TORX 4.0 fans and a clean, minimalist design that complements white themed setups."
GRAP0568,MSI GeForce RTX 5070 12G SHADOW 2X OC,MSI,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767800339/MSI/MSI_GeForce_RTX_5070_12G_SHADOW_2X_OC.webp,Avl,53900,61900,RTX 5070,12GB,GDDR7,2100,1x 16-pin,245,220,650,"The Shadow series offers a stealthy, dark aesthetic with consistent overclocked performance. Reliable cooling for long gaming marathons.",Solid build quality with a protective backplate. Optimized airflow paths ensure the GPU stays cool while maintaining whisper-quiet operation.
GRAP0583,MSI GeForce RTX 5060 Ti 8G INSPIRE 2X OC,MSI,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767800335/MSI/MSI_GeForce_RTX_5060_Ti_8G_INSPIRE_2X_OC.webp,Avl,38500,38885,RTX 5060 Ti,8GB,GDDR6,1900,1x 8-pin,230,160,550,Entry-level enthusiast performance with the Inspire series. Designed to deliver high frame rates in 1080p and 1440p gaming sessions.,Efficient dual-fan shroud and OC out of the box. Supports all modern AI features including DLSS 3.5 for enhanced visual fidelity.
GRAP0584,MSI GeForce RTX 5060 Ti 8G VENTUS 2X OC PLUS,MSI,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767800338/MSI/MSI_GeForce_RTX_5060_Ti_8G_VENTUS_2X_OC_PLUS.webp,Avl,36900,37269,RTX 5060 Ti,8GB,GDDR6,1900,1x 8-pin,230,160,550,The Ventus PLUS provides a non-nonsense performance experience. Reliable cooling and solid construction make it a favorite for system integrators.,Includes a reinforced backplate and high-efficiency heat pipes. Small form factor makes it compatible with nearly any modern PC case.
GRAP0597,MSI GeForce RTX 5060 Ti 8G SHADOW 2X OC PLUS,MSI,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767800337/MSI/MSI_GeForce_RTX_5060_Ti_8G_SHADOW_2X_OC_PLUS.webp,Avl,34900,35249,RTX 5060 Ti,8GB,GDDR6,1900,1x 8-pin,230,160,550,Next-gen power efficiency in a compact package. The Shadow 2X OC PLUS is built for gamers who want performance without the bulk.,Features Zero Frozr technology to stop fans during low load. Durable fan bearings and high-quality electrical components for lifelong stability.
GRAP0590,MSI GeForce RTX 5060 8G GAMING OC,MSI,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767800329/MSI/MSI_GeForce_RTX_5060_8G_GAMING_OC.webp,Avl,31900,32219,RTX 5060,8GB,GDDR6,1800,1x 8-pin,230,115,550,Mainstream gaming perfection. The Gaming OC series provides a premium experience with RGB accents and superior thermal designs.,"Excellent choice for 1080p competitive gaming. Cool, quiet, and powerful with MSI Afterburner support for easy performance tuning."
GRAP0595,MSI GeForce RTX 5060 8G VENTUS 2X OC WHITE,MSI,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767800333/MSI/MSI_GeForce_RTX_5060_8G_VENTUS_2X_OC_WHITE.webp,Avl,29900,30199,RTX 5060,8GB,GDDR6,1800,1x 8-pin,230,115,550,Cost-effective white edition for the budget-conscious enthusiast. High value and high performance for all modern titles.,Sleek industrial look with a brushed finish. Simple and effective cooling that doesn't compromise on noise or temperature levels.
GRAP0591,MSI GeForce RTX 5060 8G INSPIRE 2X OC,MSI,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767800330/MSI/MSI_GeForce_RTX_5060_8G_INSPIRE_2X_OC.webp,Avl,31300,31613,RTX 5060,8GB,GDDR6,1800,1x 8-pin,230,115,550,Creative inspiration for your desktop. The Inspire series focuses on ease of use and stable performance for creators and gamers alike.,Dual fan design keeps temps low while maintaining a small footprint. OC ready to give you that extra edge in demanding applications.
