Category Head,Hierarchy 2,Hierarchy 3,Strategic Pillar,Part Code,Product Name,MSP Rashi,MSP Supertron,MRP Rashi,MRP Supertron,Rashi Available,Supertron Available,GTM Matrix,Warranty,Remarks,Key Features,Short Description,Long Description,Final Price,Price Source,Lowest Online,Price Notes,Image
PW & Music,Headsets Group,Corded Headsets Type,B2C Headsets,981-000482,Logitech H540 USB Computer Headset - N/A - APANZ-122,2884,2884,6995,6995,YES,YES,Dual,2 Years,-,Clear audio | Noise cancellation | Comfortable fit | Built-in microphone | Long battery life | Wireless connectivity,Logitech H540 USB Computer Headset 122 - Premium Logitech headset designed for comfort and performance.,"The Logitech H540 USB Computer Headset 122 is a high-quality headset from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this headset delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",2942,MSP+2%,2470,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794389/Logitech/Products/Logitech_H540_USB_Computer_Headset_-_N_A_-_APANZ-122.webp
PW & Music,Headsets Group,Corded Headsets Type,B2C Headsets,981-000485,H390 USB Computer Headset - N/A - APANZ-122,2192,2192,5295,5295,YES,YES,Dual,2 Years,-,Clear audio | Noise cancellation | Comfortable fit | Built-in microphone | Long battery life | Wireless connectivity,H390 USB Computer Headset 122 - Premium Logitech headset designed for comfort and performance.,"The H390 USB Computer Headset 122 is a high-quality headset from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this headset delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",2270,Amazon,2470,Undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794338/Logitech/Products/H390_USB_Computer_Headset_-_N_A_-_APANZ-122.webp
PW & Music,Headsets Group,Corded Headsets Type,B2C Headsets,981-001282,H390 USB Computer Headset - ROSE - APANZ-122,2192,2192,5295,5295,YES,YES,Dual,2 Years,-,Clear audio | Noise cancellation | Comfortable fit | Built-in microphone | Long battery life | Wireless connectivity,H390 USB Computer Headset 122 - Premium Logitech headset designed for comfort and performance.,"The H390 USB Computer Headset 122 is a high-quality headset from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this headset delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",2270,Amazon,2470,Undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794341/Logitech/Products/H390_USB_Computer_Headset_-_ROSE_-_APANZ-122.webp
PW & Music,Headsets Group,Corded Headsets Type,B2C Headsets,981-001287,H390 USB Computer Headset - OFF-WHITE - APANZ-122,2192,2192,5295,5295,YES,YES,Dual,2 Years,-,Clear audio | Noise cancellation | Comfortable fit | Built-in microphone | Long battery life | Wireless connectivity,H390 USB Computer Headset 122 - Premium Logitech headset designed for comfort and performance.,"The H390 USB Computer Headset 122 is a high-quality headset from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this headset delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",2236,MSP+2%,2099,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794339/Logitech/Products/H390_USB_Computer_Headset_-_OFF-WHITE_-_APANZ-122.webp
PW & Music,Headsets Group,Corded Headsets Type,B2C Headsets,981-000477,Logitech H340 USB Computer Headset - BLACK - APANZ-122,1811,1811,3195,3195,YES,YES,Dual,2 Years,-,Clear audio | Noise cancellation | Comfortable fit | Built-in microphone | Long battery life | Wireless connectivity,Logitech H340 USB Computer Headset 122 - Premium Logitech headset designed for comfort and performance.,"The Logitech H340 USB Computer Headset 122 is a high-quality headset from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this headset delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",2270,Amazon,2470,Undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794388/Logitech/Products/Logitech_H340_USB_Computer_Headset_-_BLACK_-_APANZ-122.webp
PW & Music,Headsets Group,Corded Headsets Type,B2C Headsets,981-000587,Logitech® Stereo Headset H151 - BLACK - AMR-403,1038,1038,1795,1795,YES,YES,Dual,1 Year,-,Clear audio | Noise cancellation | Comfortable fit | Built-in microphone | Long battery life | Wireless connectivity,Logitech® Stereo Headset H151 403 - Premium Logitech headset designed for comfort and performance.,"The Logitech® Stereo Headset H151 403 is a high-quality headset from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this headset delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",2270,Amazon,2470,Undercut,
PW & Music,Headsets Group,Corded Headsets Type,B2C Headsets,981-000453,Logitech H150 Stereo Headset - CLOUD WHITE - APANZ-122,1038,1038,1795,1795,YES,YES,Dual,2 Years,-,Clear audio | Noise cancellation | Comfortable fit | Built-in microphone | Long battery life | Wireless connectivity,Logitech H150 Stereo Headset - CLOUD WHITE 122 - Premium Logitech headset designed for comfort and performance.,"The Logitech H150 Stereo Headset - CLOUD WHITE 122 is a high-quality headset from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this headset delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",2270,Amazon,2470,Undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794387/Logitech/Products/Logitech_H150_Stereo_Headset_-_CLOUD_WHITE_-_APANZ-122.webp
PW & Music,Headsets Group,Corded Headsets Type,B2C Headsets,981-000459,Logitech® Stereo Headset H110 - N/A - APANZ-122,542,542,955,955,YES,YES,Dual,2 Years,-,Clear audio | Noise cancellation | Comfortable fit | Built-in microphone | Long battery life | Wireless connectivity,Logitech® Stereo Headset H110 122 - Premium Logitech headset designed for comfort and performance.,"The Logitech® Stereo Headset H110 122 is a high-quality headset from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this headset delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",2270,Amazon,2470,Undercut,
PW & Music,Headsets Group,Corded Headsets Type,B2C Headsets,981-000588,Logitech H111 Stereo Headset - N/A - AMR-403,542,542,955,955,YES,YES,Dual,2 Years,-,Clear audio | Noise cancellation | Comfortable fit | Built-in microphone | Long battery life | Wireless connectivity,Logitech H111 Stereo Headset 403 - Premium Logitech headset designed for comfort and performance.,"The Logitech H111 Stereo Headset 403 is a high-quality headset from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this headset delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",2270,Amazon,2470,Undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794386/Logitech/Products/Logitech_H111_Stereo_Headset_-_N_A_-_AMR-403.webp
PW & Music,Headsets Group,Cordless Headsets Type,B2C Headsets,981-001408,Zone 300 - BLACK - APANZ-122,5312,5312,8390,8390,YES,YES,Dual,1 Year,Open for Supertron (Q2'FY26),Clear audio | Noise cancellation | Comfortable fit | Built-in microphone | Long battery life | Wireless connectivity,Zone 300 122 - Premium Logitech headset designed for comfort and performance.,"The Zone 300 122 is a high-quality headset from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this headset delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",1268000,VedantComputers,1269000,Undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794512/Logitech/Products/Zone_300_-_BLACK_-_APANZ-122.webp
PW & Music,Headsets Group,Cordless Headsets Type,B2C Headsets,981-001215,Logitech Zone Vibe 100 Headphones - GRAPHITE M/N:A00167 - APANZ-122,6036,6036,12495,12495,YES,YES,Dual,1 Year,-,Clear audio | Noise cancellation | Comfortable fit | Built-in microphone | Long battery life | Wireless connectivity,Logitech Zone Vibe 100 Headphones M/N:A00167 122 - Premium Logitech headset designed for comfort and performance.,"The Logitech Zone Vibe 100 Headphones M/N:A00167 122 is a high-quality headset from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this headset delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",6157,MSP+2%,2470,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794426/Logitech/Products/Logitech_Zone_Vibe_100_Headphones_-_GRAPHITE_M_N-A00167_-_APANZ-122.webp
