id,name,brand,image,Availability,price,final_price,case_type,form_factor,gpu_max_length,radiator_support,cpu_cooler_max_height,description_1,description_2
MSPL0029,MAG FORGE 130A Airflow,MSI,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767800289/MSI/MAG_FORGE_130A_Airflow.webp,Avl,3000,3030,Mid-Tower,ATX | mATX | ITX,330,240,160,High-airflow mid-tower case with a mesh front panel for optimal cooling performance. Includes pre-installed Auto-RGB fans for out-of-the-box style.,Supports up to 240mm radiators and multiple storage drive options. Tempered glass side panel allows for a clear view of your build.
MSPL0002,MAG FORGE 120A Airflow,MSI,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767800288/MSI/MAG_FORGE_120A_Airflow.webp,Avl,3100,3131,Mid-Tower,ATX | mATX | ITX,330,240,160,A reliable and stylish chassis designed for builders on a budget. Focused on efficient airflow with a clean aesthetic that fits any workspace.,Well-organized internal layout for easy cable management. Compatible with standard ATX motherboards and long graphics cards.
MSPL0006,MAG FORGE 320R Airflow,MSI,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767800291/MSI/MAG_FORGE_320R_Airflow.webp,Avl,4800,4848,Mid-Tower,ATX | mATX | ITX,390,360,160,The Forge 320R is built for high-end systems needing extensive cooling. Features a larger interior to accommodate 360mm radiators and top-tier GPUs.,Equipped with an ARGB fan hub for easy lighting control via MSI Center. Premium mesh panels filter dust while allowing maximum air intake.
MSPL0012,MAG FORGE 320R Airflow white,MSI,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767800290/MSI/MAG_FORGE_320R_Airflow_white.webp,Avl,5000,5050,Mid-Tower,ATX | mATX | ITX,390,360,160,"A stunning white edition of the performance-focused Forge 320R. Ideal for modern, bright-themed gaming builds with high-end cooling needs.",Includes matching white ARGB fans and internal cables. Large tempered glass window provides a showcase for your white-themed hardware.
MSPL0035,MSI Chassis PRO FORGE M050A,MSI,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767800326/MSI/MSI_Chassis_PRO_FORGE_M050A.webp,Avl,2500,2525,Micro-Tower,mATX | ITX,300,240,155,Compact Micro-ATX chassis perfect for home offices and small gaming setups. Offers efficient space usage without sacrificing cooling potential.,Features a minimalist front design and tool-less assembly options. Includes essential front I/O ports for easy connectivity.
MSPL0033,MSI Chassis PAG PANO M110A,MSI,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767800324/MSI/MSI_Chassis_PAG_PANO_M110A.webp,Avl,3150,3181,Micro-Tower,mATX | ITX,390,360,160,The Pano M110A offers a panoramic view of your hardware with its curved tempered glass design. A unique look for any desktop.,Advanced motherboard support and spacious GPU clearance. Designed to be a centerpiece of your gaming environment.
MSPL0032,MSI Chassis MAG PANO 110R PZ,MSI,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767800323/MSI/MSI_Chassis_MAG_PANO_110R_PZ.webp,Avl,5800,5858,Micro-Tower,mATX | ITX,390,360,160,Designed specifically for back-connect motherboards (Project Zero). This case offers the cleanest look with absolute minimal visible cabling.,Dual-chamber design for better thermal separation. Panoramic glass wrap-around provides a modern and premium architectural feel.
MSPL0031,MSI Chassis MAG PANO 110R PZ WHITE,MSI,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767800322/MSI/MSI_Chassis_MAG_PANO_110R_PZ_WHITE.webp,Avl,6000,6060,Micro-Tower,mATX | ITX,390,360,160,White edition Project Zero case for the ultimate clean aesthetic. No visible wires from the front when used with matching back-connect hardware.,High-quality materials and a refined finish. Supports top-mounted 360mm radiators for superior CPU cooling performance.
MSPL0008,MAG PANO M100R PZ,MSI,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767800294/MSI/MAG_PANO_M100R_PZ.webp,Avl,6900,6969,Micro-Tower,mATX | ITX,390,360,160,A premium panoramic Micro-ATX case with high-end features. Includes several ARGB fans and a dedicated cable management zone.,Support for the latest GPU sizes and advanced cooling solutions. The perfect blend of style and functional performance.
MSPL0034,MSI Chassis PAG SHIELD M500A,MSI,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767800325/MSI/MSI_Chassis_PAG_SHIELD_M500A.webp,Avl,2500,2525,Mid-Tower,ATX | mATX | ITX,340,240,160,Rugged and durable mid-tower case designed to protect and showcase your system. Features a unique industrial aesthetic with strong airflow.,Easy access dust filters and simplified interior for first-time builders. Great value for a high-quality name-brand chassis.
